Dataset_size,kmeans_seed,split_seed,Jsc
50,8080,0,0.975
50,8080,1,0.989
50,8080,2024,0.987
50,8080,1234,0.983
50,8080,8080,0.988
50,8080,888,0.984
50,888,42,0.983
50,888,77,0.988
50,888,123,0.966
50,888,999,0.993
50,888,0,0.966
50,888,1,0.976
50,888,2024,0.987
50,888,1234,0.975
50,888,8080,0.987
50,888,888,0.984
100,1,42,0.992
100,1,77,0.99
100,1,123,0.997
100,1,999,0.993
100,1,0,0.991
100,1,1,0.996
100,1,2024,0.996
100,1,1234,0.989
100,1,8080,0.999
100,1,888,0.993
100,42,42,0.992
100,42,77,0.991
100,42,123,0.991
100,42,999,0.995
100,42,0,0.988
100,42,1,0.99
100,42,2024,0.992
100,42,1234,0.993
100,42,8080,0.995
100,42,888,0.988
100,77,42,0.987
100,77,77,0.994
100,77,123,0.994
100,77,999,0.995
100,77,0,0.993
100,77,1,0.993
100,77,2024,0.992
100,77,1234,0.995
100,77,8080,0.994
100,77,888,0.988
100,123,42,0.989
100,123,77,0.993
100,123,123,0.994
100,123,999,0.993
100,123,0,0.993
100,123,1,0.993
100,123,2024,0.994
100,123,1234,0.994
100,123,8080,0.994
100,123,888,0.992
100,999,42,0.995
100,999,77,0.985
100,999,123,0.993
100,999,999,0.987
100,999,0,0.994
100,999,1,0.986
100,999,2024,0.993
100,999,1234,0.993
100,999,8080,0.994
100,999,888,0.992
100,0,42,0.989
100,0,77,0.993
100,0,123,0.991
100,0,999,0.992
100,0,0,0.991
100,0,1,0.995
100,0,2024,0.991
100,0,1234,0.995
100,0,8080,0.975
100,0,888,0.994
100,1234,42,0.993
100,1234,77,0.975
100,1234,123,0.99
100,1234,999,0.995
100,1234,0,0.993
100,1234,1,0.994
100,1234,2024,0.993
100,1234,1234,0.989
100,1234,8080,0.993
100,1234,888,0.993
100,2024,42,0.99
100,2024,77,0.991
100,2024,123,0.992
100,2024,999,0.992
100,2024,0,0.993
100,2024,1,0.993
100,2024,2024,0.991
100,2024,1234,0.992
100,2024,8080,0.992
100,2024,888,0.991
100,8080,42,0.987
100,8080,77,0.993
100,8080,123,0.981
100,8080,999,0.989
100,8080,0,0.994
100,8080,1,0.992
100,8080,2024,0.994
100,8080,1234,0.983
100,8080,8080,0.99
100,8080,888,0.988
100,888,42,0.987
100,888,77,0.994
100,888,123,0.995
100,888,999,0.993
100,888,0,0.995
100,888,1,0.993
100,888,2024,0.996
100,888,1234,0.992
100,888,8080,0.992
100,888,888,0.992
150,1,42,0.995
150,1,77,0.992
150,1,123,0.991
150,1,999,0.983
150,1,0,0.994
150,1,1,0.996
150,1,2024,0.998
150,1,1234,0.993
150,1,8080,0.994
150,1,888,0.996
150,42,42,0.994
150,42,77,0.996
150,42,123,0.993
150,42,999,0.995
150,42,0,0.994
150,42,1,0.992
150,42,2024,0.994
150,42,1234,0.992
150,42,8080,0.995
150,42,888,0.994
150,77,42,0.992
150,77,77,0.997
150,77,123,0.991
150,77,999,0.992
150,77,0,0.995
150,77,1,0.99
150,77,2024,0.996
150,77,1234,0.997
150,77,8080,0.996
150,77,888,0.991
150,123,42,0.99
150,123,77,0.995
150,123,123,0.994
150,123,999,0.996
150,123,0,0.994
150,123,1,0.994
150,123,2024,0.992
150,123,1234,0.996
150,123,8080,0.993
150,123,888,0.992
150,999,42,0.995
150,999,77,0.996
150,999,123,0.993
150,999,999,0.991
150,999,0,0.993
150,999,1,0.996
150,999,2024,0.995
150,999,1234,0.991
150,999,8080,0.996
150,999,888,0.995
150,0,42,0.995
150,0,77,0.996
150,0,123,0.993
150,0,999,0.995
150,0,0,0.995
150,0,1,0.996
150,0,2024,0.995
150,0,1234,0.992
150,0,8080,0.994
150,0,888,0.997
150,1234,42,0.993
150,1234,77,0.992
150,1234,123,0.996
150,1234,999,0.994
150,1234,0,0.995
150,1234,1,0.994
150,1234,2024,0.995
150,1234,1234,0.995
150,1234,8080,0.991
150,1234,888,0.996
150,2024,42,0.995
150,2024,77,0.993
150,2024,123,0.991
150,2024,999,0.995
150,2024,0,0.991
150,2024,1,0.993
150,2024,2024,0.996
150,2024,1234,0.996
150,2024,8080,0.996
150,2024,888,0.994
150,8080,42,0.996
150,8080,77,0.995
150,8080,123,0.992
150,8080,999,0.995
150,8080,0,0.994
150,8080,1,0.994
150,8080,2024,0.997
150,8080,1234,0.993
150,8080,8080,0.996
150,8080,888,0.995
150,888,42,0.996
150,888,77,0.996
150,888,123,0.996
150,888,999,0.993
150,888,0,0.991
150,888,1,0.994
150,888,2024,0.994
150,888,1234,0.992
150,888,8080,0.993
150,888,888,0.996
